template_0,template_1
0.0003402345376084327,0.03338482239453897
-7.560767502409548e-05,-0.007418849421008816
-0.0003299244001051459,-0.03237316110985624
-0.0003986586501270514,-0.03911756967440962
-0.00025775343758214527,-0.025291532117075265
0.00011684822503723989,0.011465494559740497
0.0007492033252387679,0.07351405335363137
0.0017321031005520153,0.16995909582674415
0.0009310877108413011,0.3379580781614401
0.0004393764462291552,0.5363068990366262
0.0019371107168054905,0.7281048460499827
0.006691354052627572,0.8807545957179639
0.01555609210372002,0.9659622134757968
0.028972232640074855,0.9597371536774829
0.05418569168510734,0.8382872317781951
0.09107928482382963,0.6125318733712397
0.12625077408910898,0.32986664037810765
0.14847710967320807,0.037309480383964935
0.14871442992778514,-0.2184992733623471
0.120098061363894,-0.3912969019483121
0.05794251865198401,-0.4351983007977388
-0.056876980580840286,-0.3637115926335273
-0.20055016863213285,-0.2092137593089689
-0.35056482279876033,-0.006915419326933956
-0.48570676537690205,0.20513917216012753
-0.58605986366205,0.3860721233501859
-0.6330060299490091,0.4921719057916323
-0.6199082676502137,0.517124135728513
-0.5557511093684327,0.4834929865490273
-0.45488439550849163,0.4054449146461558
-0.33380966093460207,0.3002217541750251
-0.21118013497036242,0.1881407170529079
-0.10780074139875814,0.09259439295922352
-0.04662809846216126,0.04005074933553716
-0.007272272237218269,0.0062464471440749625
0.016041776993862333,-0.013778927523693696
0.024811281750507286,-0.021311407903312984
0.020533474552143938,-0.017637027230327895
0.004705587918199083,-0.004041818740283087
-0.021175145631899595,0.01818818433127667
