start,stop
3160,4112
5052,5984
6940,7852
8856,9696
10600,11620
12708,13732
14852,15864
16956,17968
19040,20072
21064,22236
23404,24484
25624,26728
27788,29948
32168,33264
34264,35284
36272,37212
38228,39224
40292,41152
42088,43176
44180,45224
46260,47268
48324,49304
50340,51320
52292,53456
54548,55648
56752,57848
59036,61384
63740,64944
66004,66960
68048,69052
70108,71124
72200,73144
74136,75364
76368,77512
78704,79748
80912,83124
85368,86664
87884,89000
90220,91340
92636,94964
97368,98672
99728,100740
101828,102872
103920,105004
106088,107140
108312,109616
110816,111932
112992,114100
115224,116352
119772,121124
122400,123628
124908,126136
127412,129956
132596,133816
134796,135884
137028,138116
139268,140424
141512,142656
143768,145044
146124,147204
148364,149396
150488,151596
155324,156592
157824,159008
160272,161528
162844,165432
167892,169084
170140,171296
172324,173416
174492,175544
176604,177640
178536,179860
181060,182236
183416,184632
185784,188080
190420,191820
193036,194280
195548,196768
197916,200328
203196,204008
205096,206156
207376,208408
209564,210576
211708,212696
213620,215032
216172,217280
218400,219524
220688,221760
225212,226468
227828,229040
230272,231592
232840,235416
238028,239156
240136,241272
242324,243344
244464,245484
246608,247640
248720,249832
250984,252072
253192,254348
255472,256644
257824,258980
260140,261440
262724,263932
265184,266412
267624,270020
272568,273820
274764,275892
276972,278044
279360,280392
281476,282560
283568,284844
285964,287048
288100,289224
290264,291440
294764,296088
297388,298620
299936,301228
302412,304856
307384,308576
309608,310672
311632,312900
313980,316036
316528,317196
318048,319336
320352,321564
322748,323916
324964,327376
329508,330848
332032,333228
334440,335728
337052,338308
